id,courseName,academy,applicationDeadline
6163,Remote Sensing and Geoinformatics,Karlsruhe Institute of Technology,"<p>15 June for the following winter semester</p>

<p>15 December for the following summer semester</p>

<p>Applications will be screened as they arrive. We strongly encourage students not based in Karlsruhe to already apply roughly&nbsp;six&nbsp;months before the start of the semester in order to allow time for admission procedures, visa processing (if required), and relocation logistics.</p>"
4842,Saarbr邦cken Graduate School of Computer Science,Saarland University,"<p>Twice a year at the end of April and October for the following semester (October, April) or the following academic year if early decisions are required.<br />
Additional application deadlines may be advertised beyond this. Current information can always be found on the website: <a href=https://www.graduateschool-computerscience.de/"">https://www.graduateschool-computerscience.de/</a>.</p>"""
5244,Scientific Computing (Elite Network of Bavaria),University of Bayreuth,<p>The application process has to be completed <strong>by 15 May</strong> for the following winter semester or by <strong>15 November</strong> for the following summer semester.</p>
3758,Sensor Systems Technology (SSTM),Karlsruhe University of Applied Sciences,"<p>15 November for non-EU residents<br />
15 January for EU citizens</p>"
8417,Software Engineering (MSc),University of Hildesheim,"<p>Non-EU applicants: 30 June for the following winter semester<br />
EU applicants: 31 August for the following winter semester</p>

<p>Non-EU applicants: 15 December for the following summer semester<br />
EU applicants: 15 February for the following summer semester</p>"
3960,Software Engineering (SEM),Heilbronn University of Applied Sciences,"<p>15 July for the following winter semester<br />
15 January for the following summer semester</p>

<p>Please note: Non-German first-degree applicants have to apply to &quot;Studienkolleg Konstanz&quot; first. Application deadlines are as follows: 1 June for the winter semester and 1 December for the summer semester.</p>"
3667,Software Engineering for Industrial Applications (MEng),Hof University of Applied Sciences,<p>Our <strong><a href=https://www3.primuss.de/cgi-bin/bew_anmeldung_v2/index.pl?Session=&amp;FH=fhh&amp;Email=&amp;Portal=1&amp;Language=en">application portal</a></strong> is open during the following application periods:</p>
,,,
<ul>,,,
"	<li>5 November &ndash; 30 November for the following summer semester</li>",,,
"	<li>15 April &ndash; 31 May for the following winter semester</li>",,,
</ul>",,,
6427,"Supply Chain Management (MSc), full-time (Specialisation in: Digital SCM, Lean SCM, Reverse SCM or Sustainable SCM)",SRH University of Applied Sciences in North Rhine-Westphalia,"<p>There is&nbsp;<strong>no deadline</strong>&nbsp;for enrolment. You have the choice to apply whenever you want. But to guarantee a smooth process, we highly recommend applying as soon as possible.</p>

<p><strong>Important information:</strong>&nbsp;Please verify the specific visa deadlines for your country for beginning studies in Germany. You will only be able to enrol at the university if you have a visa valid for study in Germany. Please contact the German embassy in your home country to obtain the specific deadlines.</p>"
